,index,SNR,species,lead,planet,observation,instrument,year,detection?,doppler shifts,new data?,analysis type,tellurics,url,analysis method,VMR,VMR_err1,VMR_err2,doppler shift,metallicity,metallicity_err1,metallicity_err2,c/o,c/o_err1,c/o_err2,comments,Doppler shifts,comment
0,0,20.0,H alpha,F Yan,WASP-33 b,transit,"HARPS, CARMENES",2020,,,,,,,,,,,,,,,,,,,,
1,1,8.0,H beta,F Yan,WASP-33 b,transit,"HARPS, CARMENES",2020,,,,,,,,,,,,,,,,,,,,
2,2,2.3,H gamma,F Yan,WASP-33 b,transit,"HARPS, CARMENES",2020,,,,,,,,,,,,,,,,,,,,
3,0,5.9,H2O,A Boucher,HD 189733 b,transit,SPIRou,2021,True,,,,,,,,,,,,,,,,,,,
4,0,5.6,H2O,J Birkby,51 Peg b,emission,CRIRES,2017,,,,,,,,,,,,,,,,,,,,
5,0,5.0,H2O,J Birkby,HD 189733 b,emission,CRIRES,2013,,,,,,,,,,,,,,,,,,,,
6,0,5.5,H2O,A Sanchez-Lopez,WASP-76 b,transit,CARMENES,2021,,,,,,,,,,,,,,,,,,,,
7,1,5.2,HCN,A Sanchez-Lopez,WASP-76 b,transit,CARMENES,2021,,,,,,,,,,,,,,,,,,,,
8,0,13.3,Fe,F Borsa,WASP-121 b,transit,ESPRESSO,2020,,,,,,,,,,,,,,,,,,,,
9,1,4.4,Fe+,F Borsa,WASP-121 b,transit,ESPRESSO,2020,,,,,,,,,,,,,,,,,,,,
10,2,4.2,Cr,F Borsa,WASP-121 b,transit,ESPRESSO,2020,,,,,,,,,,,,,,,,,,,,
11,3,6.6,V,F Borsa,WASP-121 b,transit,ESPRESSO,2020,,,,,,,,,,,,,,,,,,,,
12,4,4.0,Ca+,F Borsa,WASP-121 b,transit,ESPRESSO,2020,,,,,,,,,,,,,,,,,,,,
13,5,3.9,Mn,F Borsa,WASP-121 b,transit,ESPRESSO,2020,,,,,,,,,,,,,,,,,,,,
14,6,4.0,Mg,F Borsa,WASP-121 b,transit,ESPRESSO,2020,,,,,,,,,,,,,,,,,,,,
15,7,3.9,H beta,F Borsa,WASP-121 b,transit,ESPRESSO,2020,,,,,,,,,,,,,,,,,,,,
16,8,4.0,Mg,F Borsa,WASP-121 b,transit,ESPRESSO,2020,,,,,,,,,,,,,,,,,,,,
17,9,4.0,Na,F Borsa,WASP-121 b,transit,ESPRESSO,2020,,,,,,,,,,,,,,,,,,,,
18,10,4.0,H alpha,F Borsa,WASP-121 b,transit,ESPRESSO,2020,,,,,,,,,,,,,,,,,,,,
19,11,4.0,Li,F Borsa,WASP-121 b,transit,ESPRESSO,2020,,,,,,,,,,,,,,,,,,,,
20,12,4.0,K,F Borsa,WASP-121 b,transit,ESPRESSO,2020,,,,,,,,,,,,,,,,,,,,
21,0,7.1,Fe,F Borsa,KELT-20 b,emission,HARPS-N,2022,,,True,"G2 stellar mask, parameterized forward models, petitradtrans",airmass detrending,https://arxiv.org/abs/2205.12162,,,,,,,,,,,,,,
22,1,3.9,Fe+,F Borsa,KELT-20 b,emission,HARPS-N,2022,,,True,"G2 stellar mask, parameterized forward models, petitradtrans",airmass detrending,https://arxiv.org/abs/2205.12162,,,,,,,,,,,,,,
23,2,3.6,Cr,F Borsa,KELT-20 b,emission,HARPS-N,2022,,,True,"G2 stellar mask, parameterized forward models, petitradtrans",airmass detrending,https://arxiv.org/abs/2205.12162,,,,,,,,,,,,,,
24,0,5.2,H2O,A Sanchez-Lopez,HD 209458 b,transit,CARMENES,2020,,,,,,,,,,,,,,,,,,,,
25,0,4.9,Na,S chen,WASP-21 b,transit,HARPS-N,2020,,,,,,,,,,,,,,,,,,,,
26,0,8.7,Fe,F Yan,WASP-189 b,emission,HARPS-N,2020,,,,,,,,,,,,,,,,,,,,
27,0,6.4,Fe,S Nugroho,WASP-33 b,emission,Subaru/IRD,2020,,,,,,,,,,,,,,,,,,,,
28,0,9.0,Fe,J Hoeijmakers,WASP-121 b,transit,HARPS,2020,,,,,,,,,,,,,,,,,,,,
29,0,9.0,Fe,D Ehrenreich,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,,,,,,,,,,,,
30,0,6.0,Fe,M Ben-Yami,WASP-121 b,transit,HARPS,2020,,,,,,,,,,,,,,,,,,,,
31,1,3.6,Cr,M Ben-Yami,WASP-121 b,transit,HARPS,2020,,,,,,,,,,,,,,,,,,,,
32,2,4.5,V,M Ben-Yami,WASP-121 b,transit,HARPS,2020,,,,,,,,,,,,,,,,,,,,
33,3,3.6,Fe+,M Ben-Yami,WASP-121 b,transit,HARPS,2020,,,,,,,,,,,,,,,,,,,,
34,0,2.4,Na,L Carone,WASP-117 b,transit,ESPRESSO,2020,,,,,,,,,,,,,,,,,,,,
35,1,2.4,K,L Carone,WASP-117 b,transit,ESPRESSO,2020,,,,,,,,,,,,,,,,,,,,
36,0,14.43,Fe,S Nugroho,KELT-20 b,transit,"HARPS, CARMENES",2020,,,,,,,,,,,,,,,,,,,,
37,1,8.35,Ca+,S Nugroho,KELT-20 b,transit,"HARPS, CARMENES",2020,,,,,,,,,,,,,,,,,,,,
38,2,5.77,Na,S Nugroho,KELT-20 b,transit,"HARPS, CARMENES",2020,,,,,,,,,,,,,,,,,,,,
39,3,13.47,Fe+,S Nugroho,KELT-20 b,transit,"HARPS, CARMENES",2020,,,,,,,,,,,,,,,,,,,,
40,0,4.5,Na,wyttenbach,WASP-49 b,transit,HARPS,2016,,,,,,,,,,,,,,,,,,,,
41,0,7.7,TiO,E Sedaghati,WASP-19 b,emission,CRIRES,2017,,,,,,,,,,,,,,,,,,,,
42,1,3.4,Na,E Sedaghati,WASP-19 b,emission,CRIRES,2017,,,,,,,,,,,,,,,,,,,,
43,2,7.9,H2O,E Sedaghati,WASP-19 b,emission,CRIRES,2017,,,,,,,,,,,,,,,,,,,,
44,0,14.8,H alpha,Y Zhang,MASCARA-4 b,emission,ESPRESSO,2022,,,True,"line-fitting, self-consistent model grid (petitRADTRANS)",molecfit,https://arxiv.org/abs/2208.11427,,,,,,,,,,,,,,
45,1,4.8,H beta,Y Zhang,MASCARA-4 b,emission,ESPRESSO,2022,,,True,"line-fitting, self-consistent model grid (petitRADTRANS)",molecfit,https://arxiv.org/abs/2208.11427,,,,,,,,,,,,,,
46,2,9.0,Ca+,Y Zhang,MASCARA-4 b,emission,ESPRESSO,2022,,,True,"line-fitting, self-consistent model grid (petitRADTRANS)",molecfit,https://arxiv.org/abs/2208.11427,,,,,,,,,,,,,,
47,3,12.1,Na,Y Zhang,MASCARA-4 b,emission,ESPRESSO,2022,,,True,"line-fitting, self-consistent model grid (petitRADTRANS)",molecfit,https://arxiv.org/abs/2208.11427,,,,,,,,,,,,,,
48,4,7.0,Mg,Y Zhang,MASCARA-4 b,emission,ESPRESSO,2022,,,True,"line-fitting, self-consistent model grid (petitRADTRANS)",molecfit,https://arxiv.org/abs/2208.11427,,,,,,,,,,,,,,
49,5,25.3,Fe,Y Zhang,MASCARA-4 b,emission,ESPRESSO,2022,,,True,"line-fitting, self-consistent model grid (petitRADTRANS)",molecfit,https://arxiv.org/abs/2208.11427,,,,,,,,,,,,,,
50,6,11.8,Fe+,Y Zhang,MASCARA-4 b,emission,ESPRESSO,2022,,,True,"line-fitting, self-consistent model grid (petitRADTRANS)",molecfit,https://arxiv.org/abs/2208.11427,,,,,,,,,,,,,,
51,7,6.7,Cr,Y Zhang,MASCARA-4 b,emission,ESPRESSO,2022,,,True,"line-fitting, self-consistent model grid (petitRADTRANS)",molecfit,https://arxiv.org/abs/2208.11427,,,,,,,,,,,,,,
52,8,6.3,Ca,Y Zhang,MASCARA-4 b,emission,ESPRESSO,2022,,,True,"line-fitting, self-consistent model grid (petitRADTRANS)",molecfit,https://arxiv.org/abs/2208.11427,,,,,,,,,,,,,,
53,0,6.3,CO,M Brogi,HD 179949 b,emission,CRIRES,2014,,,,,,,,,,,,,,,,,,,,
54,1,6.3,H2O,M Brogi,HD 179949 b,emission,CRIRES,2014,,,,,,,,,,,,,,,,,,,,
55,0,0.0,He,K Paragas,HAT-P-18 b,emission,Hale,2021,,,,,,,,,,,,,,,,,,,,
56,0,5.9,CO,M Brogi,51 Peg b,emission,CRIRES,2013,,,,,,,,,,,,,,,,,,,,
57,1,5.9,H2O,M Brogi,51 Peg b,emission,CRIRES,2013,,,,,,,,,,,,,,,,,,,,
58,0,11.6,CO,H Schwarz,GQ Lupi,direct image,CRIRES,2016,True,,,,,,,,,,,,,,,,,,,
59,1,7.7,H2O,H Schwarz,GQ Lupi,direct image,CRIRES,2016,True,,,,,,,,,,,,,,,,,,,
60,0,8.2,H2O,E Flowers,HD 189733 b,transit,CRIRES,2019,True,,,,,,,,,,,,,,,,,,,
61,1,8.2,CO,E Flowers,HD 189733 b,transit,CRIRES,2019,True,,,,,,,,,,,,,,,,,,,
62,0,5.5,H2O,M Brogi,HD 189733 b,transit,CRIRES,2016,True,,,,,,,,,,,,,,,,,,,
63,1,5.1,CO,M Brogi,HD 189733 b,transit,CRIRES,2016,True,,,,,,,,,,,,,,,,,,,
64,0,0.0,Na,T Louden,HD 189733 b,transit,HARPS,2015,True,,,,,,,,,,,,,,,,,,,
65,0,6.4,H2O,A Sanchez-Lopez,HD 209458 b,transit,CARMENES,2019,,,,,,,,,,,,,,,,,,,,
66,0,5.6,CO,I Snellen,HD 209458 b,transit,CRIRES,2010,,,,,,,,,,,,,,,,,,,,
67,0,7.15,Ca+ K,HM Tabernero,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,,,,,,,,,,,,
68,1,7.05,Ca+ H,HM Tabernero,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,,,,,,,,,,,,
69,2,4.85,Mn,HM Tabernero,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,,,,,,,,,,,,
70,3,5.7,Fe,HM Tabernero,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,,,,,,,,,,,,
71,4,3.25,Mg,HM Tabernero,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,,,,,,,,,,,,
72,5,6.25,Mg b,HM Tabernero,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,,,,,,,,,,,,
73,6,7.949999999999999,Na D2,HM Tabernero,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,,,,,,,,,,,,
74,7,7.25,Na D1,HM Tabernero,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,,,,,,,,,,,,
75,8,4.0,H alpha,HM Tabernero,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,,,,,,,,,,,,
76,9,5.050000000000001,Li,HM Tabernero,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,,,,,,,,,,,,
77,10,4.75,K,HM Tabernero,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,,,,,,,,,,,,
78,0,5.31,H,Aurora Kesseli,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,,,,,,,,,,,,
79,1,6.03,Li,Aurora Kesseli,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,,,,,,,,,,,,
80,2,10.63,Na,Aurora Kesseli,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,,,,,,,,,,,,
81,3,6.94,Mg,Aurora Kesseli,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,,,,,,,,,,,,
82,4,4.22,K,Aurora Kesseli,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,,,,,,,,,,,,
83,5,7.8,Ca+,Aurora Kesseli,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,,,,,,,,,,,,
84,6,8.19,V,Aurora Kesseli,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,,,,,,,,,,,,
85,7,6.82,Cr,Aurora Kesseli,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,,,,,,,,,,,,
86,8,5.82,Mn,Aurora Kesseli,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,,,,,,,,,,,,
87,9,14.24,Fe,Aurora Kesseli,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,,,,,,,,,,,,
88,10,4.03,Co,Aurora Kesseli,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,,,,,,,,,,,,
