,index,SNR,species,lead,planet,observation,instrument,year,detection?,analysis method,new data?,analysis type,tellurics,url,VMR,VMR_err1,VMR_err2
0,0,20.0,H alpha,F Yan,WASP-33 b,transit,"HARPS, CARMENES",2020,,,,,,,,,
1,1,8.0,H beta,F Yan,WASP-33 b,transit,"HARPS, CARMENES",2020,,,,,,,,,
2,2,2.3,H gamma,F Yan,WASP-33 b,transit,"HARPS, CARMENES",2020,,,,,,,,,
3,0,5.9,H2O,A Boucher,HD 189733 b,transit,SPIRou,2021,True,,,,,,,,
4,0,5.6,H2O,J Birkby,51 Peg b,emission,CRIRES,2017,,,,,,,,,
5,0,5.0,H2O,J Birkby,HD 189733 b,emission,CRIRES,2013,,,,,,,,,
6,0,5.5,H2O,A Sanchez-Lopez,WASP-76 b,transit,CARMENES,2021,,,,,,,,,
7,1,5.2,HCN,A Sanchez-Lopez,WASP-76 b,transit,CARMENES,2021,,,,,,,,,
8,0,13.3,Fe,F Borsa,WASP-121 b,transit,ESPRESSO,2020,,,,,,,,,
9,1,4.4,Fe+,F Borsa,WASP-121 b,transit,ESPRESSO,2020,,,,,,,,,
10,2,4.2,Cr,F Borsa,WASP-121 b,transit,ESPRESSO,2020,,,,,,,,,
11,3,6.6,V,F Borsa,WASP-121 b,transit,ESPRESSO,2020,,,,,,,,,
12,4,4.0,Ca+,F Borsa,WASP-121 b,transit,ESPRESSO,2020,,,,,,,,,
13,5,3.9,Mn,F Borsa,WASP-121 b,transit,ESPRESSO,2020,,,,,,,,,
14,6,4.0,Mg,F Borsa,WASP-121 b,transit,ESPRESSO,2020,,,,,,,,,
15,7,3.9,H beta,F Borsa,WASP-121 b,transit,ESPRESSO,2020,,,,,,,,,
16,8,4.0,Mg,F Borsa,WASP-121 b,transit,ESPRESSO,2020,,,,,,,,,
17,9,4.0,Na,F Borsa,WASP-121 b,transit,ESPRESSO,2020,,,,,,,,,
18,10,4.0,H alpha,F Borsa,WASP-121 b,transit,ESPRESSO,2020,,,,,,,,,
19,11,4.0,Li,F Borsa,WASP-121 b,transit,ESPRESSO,2020,,,,,,,,,
20,12,4.0,K,F Borsa,WASP-121 b,transit,ESPRESSO,2020,,,,,,,,,
21,0,5.2,H2O,A Sanchez-Lopez,HD 209458 b,transit,CARMENES,2020,,,,,,,,,
22,0,4.9,Na,S chen,WASP-21 b,transit,HARPS-N,2020,,,,,,,,,
23,0,8.7,Fe,F Yan,WASP-189 b,emission,HARPS-N,2020,,,,,,,,,
24,0,6.4,Fe,S Nugroho,WASP-33 b,emission,Subaru/IRD,2020,,,,,,,,,
25,0,9.0,Fe,J Hoeijmakers,WASP-121 b,transit,HARPS,2020,,,,,,,,,
26,0,9.0,Fe,D Ehrenreich,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,
27,0,6.0,Fe,M Ben-Yami,WASP-121 b,transit,HARPS,2020,,,,,,,,,
28,1,3.6,Cr,M Ben-Yami,WASP-121 b,transit,HARPS,2020,,,,,,,,,
29,2,4.5,V,M Ben-Yami,WASP-121 b,transit,HARPS,2020,,,,,,,,,
30,3,3.6,Fe+,M Ben-Yami,WASP-121 b,transit,HARPS,2020,,,,,,,,,
31,0,2.4,Na,L Carone,WASP-117 b,transit,ESPRESSO,2020,,,,,,,,,
32,1,2.4,K,L Carone,WASP-117 b,transit,ESPRESSO,2020,,,,,,,,,
33,0,14.43,Fe,S Nugroho,KELT-20 b,transit,"HARPS, CARMENES",2020,,,,,,,,,
34,1,8.35,Ca+,S Nugroho,KELT-20 b,transit,"HARPS, CARMENES",2020,,,,,,,,,
35,2,5.77,Na,S Nugroho,KELT-20 b,transit,"HARPS, CARMENES",2020,,,,,,,,,
36,3,13.47,Fe+,S Nugroho,KELT-20 b,transit,"HARPS, CARMENES",2020,,,,,,,,,
37,0,4.5,Na,wyttenbach,WASP-49 b,transit,HARPS,2016,,,,,,,,,
38,0,6.3,CO,M Brogi,HD 179949 b,emission,CRIRES,2014,,,,,,,,,
39,1,6.3,H2O,M Brogi,HD 179949 b,emission,CRIRES,2014,,,,,,,,,
40,0,0.0,He,K Paragas,HAT-P-18 b,emission,Hale,2021,,,,,,,,,
41,0,5.9,CO,M Brogi,51 Peg b,emission,CRIRES,2013,,,,,,,,,
42,1,5.9,H2O,M Brogi,51 Peg b,emission,CRIRES,2013,,,,,,,,,
43,0,11.6,CO,H Schwarz,GQ Lupi,direct image,CRIRES,2016,True,,,,,,,,
44,1,7.7,H2O,H Schwarz,GQ Lupi,direct image,CRIRES,2016,True,,,,,,,,
45,0,8.2,H2O,E Flowers,HD 189733 b,transit,CRIRES,2019,True,,,,,,,,
46,1,8.2,CO,E Flowers,HD 189733 b,transit,CRIRES,2019,True,,,,,,,,
47,0,5.5,H2O,M Brogi,HD 189733 b,transit,CRIRES,2016,True,,,,,,,,
48,1,5.1,CO,M Brogi,HD 189733 b,transit,CRIRES,2016,True,,,,,,,,
49,0,0.0,Na,T Louden,HD 189733 b,transit,HARPS,2015,True,,,,,,,,
50,0,6.4,H2O,A Sanchez-Lopez,HD 209458 b,transit,CARMENES,2019,,,,,,,,,
51,0,5.6,CO,I Snellen,HD 209458 b,transit,CRIRES,2010,,,,,,,,,
52,0,7.15,Ca+ K,HM Tabernero,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,
53,1,7.05,Ca+ H,HM Tabernero,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,
54,2,4.85,Mn,HM Tabernero,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,
55,3,5.7,Fe,HM Tabernero,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,
56,4,3.25,Mg,HM Tabernero,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,
57,5,6.25,Mg b,HM Tabernero,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,
58,6,7.949999999999999,Na D2,HM Tabernero,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,
59,7,7.25,Na D1,HM Tabernero,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,
60,8,4.0,H alpha,HM Tabernero,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,
61,9,5.050000000000001,Li,HM Tabernero,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,
62,10,4.75,K,HM Tabernero,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,
63,0,5.31,H,Aurora Kesseli,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,
64,1,6.03,Li,Aurora Kesseli,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,
65,2,10.63,Na,Aurora Kesseli,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,
66,3,6.94,Mg,Aurora Kesseli,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,
67,4,4.22,K,Aurora Kesseli,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,
68,5,7.8,Ca+,Aurora Kesseli,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,
69,6,8.19,V,Aurora Kesseli,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,
70,7,6.82,Cr,Aurora Kesseli,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,
71,8,5.82,Mn,Aurora Kesseli,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,
72,9,14.24,Fe,Aurora Kesseli,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,
73,10,4.03,Co,Aurora Kesseli,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,
74,11,5.01,Ni,Aurora Kesseli,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,
75,12,5.77,Sr+,Aurora Kesseli,WASP-76 b,transit,ESPRESSO,2020,,,,,,,,,
76,0,12.8,CO,M Line,WASP-77A b,emission,IGRINS,2021,,,,,,,,,
77,1,12.8,H2O,M Line,WASP-77A b,emission,IGRINS,2021,,,,,,,,,
78,0,6.0,CO,allart,Tau bootis b,emission,CRIRES,2012,,,,,,,,,
79,0,3.4,CO,allart,Tau bootis b,emission,CRIRES,2012,,,,,,,,,
80,0,0.0,Na,J Seidel,WASP-76 b,transit,HARPS,2021,,,,,,,,,
81,0,10.6,Na,J Seidel,WASP-76 b,transit,,2021,,,,,,,,,
82,0,0.0,CO,R de Kok,HD 189733 b,emission,CRIRES,2013,,,,,,,,,
83,0,8.0,Na,Zak,WASP-76 b,emission,HARPS,2019,,,,,,,,,
84,0,6.1,OH,R Landman,WASP-76 b,transit,CARMENES,2021,,,,,,,,,
85,0,6.4,CO,I Snellen,Beta pic b,emission,CRIRES,2014,,parameterized forward model,,,,,,,
86,1,2.0,H2O,I Snellen,Beta pic b,emission,CRIRES,2014,,parameterized forward model,,,,,,,
88,0,7.4,CO,Van Sluijs,WASP-33 b,emission,MMT,2022,,,,,,,,,
89,0,0.0,CO,pelletier,Tau bootis b,transit,SPIRou,2021,,,,,,,,,
90,0,0.0,Fe,kasper,WASP-76 b,transit,MAROON-X,2021,,retrieval,,,,,,,
91,1,0.0,Fe+,kasper,WASP-76 b,transit,MAROON-X,2021,,retrieval,,,,,,,
92,2,0.0,Ti+,kasper,WASP-76 b,transit,MAROON-X,2021,,retrieval,,,,,,,
93,3,0.0,Ca+,kasper,WASP-76 b,transit,MAROON-X,2021,,retrieval,,,,,,,
94,4,0.0,Mg,kasper,WASP-76 b,transit,MAROON-X,2021,,retrieval,,,,,,,
95,0,7.0,Fe,J Hoeijmakers,KELT-9 b,transit,HARPS,2018,,,,,,,,,
96,1,14.0,Fe+,J Hoeijmakers,KELT-9 b,transit,HARPS,2018,,,,,,,,,
97,2,9.0,Ti+,J Hoeijmakers,KELT-9 b,transit,HARPS,2018,,,,,,,,,
98,0,5.0,Na,J Hoeijmakers,KELT-9 b,transit,HARPS,2019,,,,,,,,,
99,1,5.0,Mg,J Hoeijmakers,KELT-9 b,transit,HARPS,2019,,,,,,,,,
100,2,5.0,Sc+,J Hoeijmakers,KELT-9 b,transit,HARPS,2019,,,,,,,,,
101,3,5.0,Ti+,J Hoeijmakers,KELT-9 b,transit,HARPS,2019,,,,,,,,,
102,4,5.0,Cr+,J Hoeijmakers,KELT-9 b,transit,HARPS,2019,,,,,,,,,
103,5,5.0,Fe,J Hoeijmakers,KELT-9 b,transit,HARPS,2019,,,,,,,,,
104,6,5.0,Fe+,J Hoeijmakers,KELT-9 b,transit,HARPS,2019,,,,,,,,,
105,7,5.0,Y+,J Hoeijmakers,KELT-9 b,transit,HARPS,2019,,,,,,,,,
106,0,3.0,H2O,M Brogi,HD 179949 b,emission,CRIRES,2014,,,,,,,,,
107,0,7.8,Mg,Cauley,KELT-9 b,transit,PEPSI,2019,,,,,,,,,
108,1,5.0,Fe,Cauley,KELT-9 b,transit,PEPSI,2019,,,,,,,,,
109,2,5.0,Fe+,Cauley,KELT-9 b,transit,PEPSI,2019,,,,,,,,,
110,3,5.0,Ti+,Cauley,KELT-9 b,transit,PEPSI,2019,,,,,,,,,
111,4,5.0,H alpha,Cauley,KELT-9 b,transit,PEPSI,2019,,,,,,,,,
112,5,5.0,H beta,Cauley,KELT-9 b,transit,PEPSI,2019,,,,,,,,,
113,0,0.0,H alpha,Turner,KELT-9 b,transit,CARMENES,2020,,,,,,,,,
114,0,0.0,Ca+,Diebert,WASP-76 b,transit,CARMENES,2021,,,,,,,,,
115,0,0.0,Fe,L Pino,KELT-9 b,transit,HARPS,2020,,,,,,,,,
116,0,0.0,Ca+,F Yan,KELT-9 b,transit,CARMENES,2019,,,,,,,,,
117,0,10.4,Fe,M Herman,WASP-33 b,emission,"ESPaDOnS, HDS",2022,,,,,,,,,
118,0,7.3,Fe,S Nugroho,WASP-33 b,emission,CARMENES,2022,,,,,,,,,
119,1,4.9,TiO,S Nugroho,WASP-33 b,emission,CARMENES,2022,,,,,,,,,
120,0,5.4,Si,cont,KELT-20 b,emission,CARMENES,2022,,,,,,,,,
121,0,0.0,Na,Santos,HD 209458 b,transit,ESPRESSO,2020,,,,,,,,,
122,1,0.0,K,Santos,HD 209458 b,transit,ESPRESSO,2020,,,,,,,,,
123,0,0.0,He,mansfield,HAT-P-11 b,transit,CARMENES,2018,,,,,,,,,
124,0,9.0,Na,Allart,WASP-127 b,transit,ESPRESSO,2020,,,,,,,,,
